player_name_id,team_name
Aaron Ramsey,Burnley
Abdallah Sima,Brighton
Abdoullah Ba,Sunderland
Adam Wharton,Crystal Palace
Adama Traoré Diarra,Fulham
Adrian Mazilu,Brighton
Alan Browne,Sunderland
Albert Sambi Lokonga,Arsenal
Alejandro Garnacho Ferreyra,Chelsea
Alex Iwobi,Fulham
Alex Scott,Bournemouth
Alexis Mac Allister,Liverpool
Alysson Edward Franco da Rocha dos Santos,Aston Villa
Amad Diallo,Man Utd
Amadou Onana,Aston Villa
Amine Adli,Bournemouth
Andre Harriman-Annous,Arsenal
Andreas Hoelgebaum Pereira,Fulham
Andrew Moran,Brighton
Andrey Nascimento dos Santos,Chelsea
André Trindade da Costa Neto,Wolves
Andy Irving,West Ham
Anthony Elanga,Newcastle
Anthony Gordon,Newcastle
Antoine Semenyo,Man City
Anton Stach,Leeds
Antoni Milambo,Brentford
Antony dos Santos,Man Utd
Antoñito Cordero Campillo,Newcastle
Archie Gray,Spurs
Asher Agbinone,Crystal Palace
Ben Broggio,Aston Villa
Ben Gannon-Doak,Bournemouth
Ben Winterburn,Bournemouth
Bendito Mantato,Man Utd
Bernardo Mota Veiga de Carvalho e Silva,Man City
Bertrand Traoré,Sunderland
Boubacar Kamara,Aston Villa
Boubacar Traoré,Wolves
Bradley Burrowes,Aston Villa
Brajan Gruda,Brighton
Brenden Aaronson,Leeds
Brennan Johnson,Crystal Palace
Bruno Borges Fernandes,Man Utd
Bruno Guimarães Rodriguez Moura,Newcastle
Bryan Gil Salvatierra,Spurs
Bryan Mbeumo,Man Utd
Bukayo Saka,Arsenal
Callum Bates,Everton
Callum Hudson-Odoi,Nott'm Forest
Callum Olusesi,Spurs
Carlos Alcaraz Durán,Everton
Carlos Baleba,Brighton
Carlos Henrique Casimiro,Man Utd
Charlie Crew,Leeds
Charlie Gray,Man City
Cheick Doucouré,Crystal Palace
Chemsdine Talbi,Sunderland
Chris Rigg,Sunderland
Christian Nørgaard,Arsenal
Christopher Nkunku,Chelsea
Claudio Echeverri,Man City
Coby Ebere,Everton
Cody Gakpo,Liverpool
Cole Palmer,Chelsea
Crysencio Summerville,West Ham
Curtis Jones,Liverpool
Daichi Kamada,Crystal Palace
Dan Ndoye,Nott'm Forest
Dan Neil,Sunderland
Dango Ouattara,Brentford
Daniel James,Leeds
Darko Churlinov,Burnley
Darko Gyabi,Leeds
David Brooks,Bournemouth
David Ozoh,Crystal Palace
Declan Rice,Arsenal
Dejan Kulusevski,Spurs
Diego Gómez Amarilla,Brighton
Dilane Bakwa,Nott'm Forest
Divine Mukasa,Man City
Dominic Sadi,Bournemouth
Dominik Szoboszlai,Liverpool
Donyell Malen,Aston Villa
Douglas Luiz Soares de Paulo,Nott'm Forest
Dwight McNeil,Everton
Dário Luís Essugo,Chelsea
Eberechi Eze,Arsenal
Edson Álvarez Velázquez,West Ham
Elliot Anderson,Nott'm Forest
Emile Smith Rowe,Fulham
Emiliano Buendía Stati,Aston Villa
Endo Wataru,Liverpool
Enock Agyei,Burnley
Enso González Medina,Wolves
Enzo Barrenechea,Aston Villa
Enzo Fernández,Chelsea
Enzo Le Fée,Sunderland
Eric da Silva Moreira,Nott'm Forest
Estêvão Almeida de Oliveira Gonçalves,Chelsea
Ethan Ampadu,Leeds
Ethan Nwaneri,Arsenal
Ethan Sutherland,Wolves
Evann Guessand,Aston Villa
Facundo Buonanotte,Chelsea
Federico Chiesa,Liverpool
Fer López González,Wolves
Florentino Ibrain Morris Luís,Burnley
Florian Wirtz,Liverpool
Franco Umeh-Chibueze,Crystal Palace
Frank Onyeka,Brentford
Freddie Potts,West Ham
Fábio Ferreira Vieira,Arsenal
Fábio Freitas Gouveia Carvalho,Brentford
Gabriel Martinelli Silva,Arsenal
Garang Kuol,Newcastle
George Brierley,Burnley
George Earthy,West Ham
George Hemmings,Aston Villa
Georginio Rutter,Brighton
Gonçalo Manuel Ganchinho Guedes,Wolves
Granit Xhaka,Sunderland
Guido Rodríguez,West Ham
Gustavo Nunes Fernandes Gomes,Brentford
Habib Diarra,Sunderland
Hamed Traorè,Bournemouth
Hannibal Mejbri,Burnley
Harrison Armstrong,Everton
Harrison Jones,Sunderland
Harrison Reed,Fulham
Harry Howell,Brighton
Harry Wilson,Fulham
Harvey Barnes,Newcastle
Harvey Elliott,Aston Villa
Hwang Hee-chan,Wolves
Ian Poveda-Ocampo,Sunderland
Ibrahim Sangaré,Nott'm Forest
Idrissa Gana Gueye,Everton
Ilia Gruev,Leeds
Iliman Ndiaye,Everton
Isaac Hayden,Newcastle
Isaac Heath,Everton
Ismaïla Sarr,Crystal Palace
Ismeal Kabia,Arsenal
Jack Fletcher,Man Utd
Jack Grealish,Everton
Jack Harrison,Leeds
Jack Hinshelwood,Brighton
Jack Moorhouse,Man Utd
Jacob Bruun Larsen,Burnley
Jacob Murphy,Newcastle
Jacob Ramsey,Newcastle
Jadon Sancho,Aston Villa
Jaidon Anthony,Burnley
Jamaldeen Jimoh-Aloba,Aston Villa
James Garner,Everton
James Maddison,Spurs
James McAtee,Nott'm Forest
James McConnell,Liverpool
James Milner,Brighton
James Ward-Prowse,West Ham
Jamie Bynoe-Gittens,Chelsea
Jay Matete,Sunderland
Jayce Fitzgerald,Man Utd
Jaydon Banel,Burnley
Jean-Ricner Bellegarde,Wolves
Jefferson Lerma Solís,Crystal Palace
Jenson Metcalfe,Everton
Jeremy Sarmiento Morante,Brighton
Jesurun Rak-Sakyi,Crystal Palace
Jhon Arias,Wolves
Joe Gelhardt,Leeds
Joe Hodge,Wolves
Joe Knight,Brighton
Joe White,Newcastle
Joe Willock,Newcastle
Joelinton Cássio Apolinário de Lira,Newcastle
John McGinn,Aston Villa
Jordan Henderson,Brentford
Josh Cullen,Burnley
Josh Dasilva,Brentford
Josh King,Fulham
Josh Laurent,Burnley
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,Spurs
João Pedro Ferreira da Silva,Nott'm Forest
João Victor Gomes da Silva,Wolves
Joél Drakes-Thomas,Crystal Palace
Julio Enciso Espínola,Brighton
Justin Devenny,Crystal Palace
Justin Kluivert,Bournemouth
Jérémy Doku,Man City
Kadan Young,Aston Villa
Kaden Rodney,Crystal Palace
Kalvin Phillips,Man City
Kendry Páez Andrade,Chelsea
Kevin Santos Lopes de Macedo,Fulham
Kevin Schade,Brentford
Kieran Morrison,Liverpool
