name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Welington Damascena Santos,DEF,Southampton,0,0,0,0,0,0,718,0,0,0,0,219,0,0,0,0,2025-01-19T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,16,0,0,0,0,22,0,187,0,2,3,0,0,22,39,17,40,FALSE,0,22
Alex Scott,MID,Bournemouth,0,0,0,0,0,0,77,0,0,0,0,218,0,0,0,0,2025-01-18T12:30:00Z,0,0,0,0,0,0,0,0,FALSE,15,0,0,0,0,22,0,3011,0,4,1,0,0,-38,17,55,47,FALSE,0,22
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0,0,0,0,0,0,427,0,0,0,0,219,0,0,0,0,2025-01-19T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,17,0,0,0,0,22,0,18098,0,2,3,0,0,-455,373,828,42,TRUE,0,22
Tomiyasu Takehiro,DEF,Arsenal,0,0,0,0,0,0,22,0,0,0,0,211,0,0,0,0,2025-01-18T17:30:00Z,0,0,0,0,0,0,0,0,FALSE,2,0,0,0,0,22,0,3741,0,2,2,0,0,7,39,32,48,TRUE,0,22
Malcolm Ebiowei,MID,Crystal Palace,0,0,0,0,0,0,197,0,0,0,0,220,0,0,0,0,2025-01-18T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,19,0,0,0,0,22,0,249,0,2,0,0,0,0,0,0,45,FALSE,0,22
Ben Brereton Díaz,MID,Southampton,0,0,0,0,0,0,584,0,0,0,0,219,0,0,0,0,2025-01-19T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,16,0,0,0,0,22,0,16361,0,2,3,0,0,-168,28,196,49,FALSE,0,22
Pau Torres,DEF,Aston Villa,0,0,0,0,0,0,52,0,0,0,0,211,0,0,0,0,2025-01-18T17:30:00Z,0,0,0,0,0,0,0,0,FALSE,1,0,0,0,0,22,0,96129,0,2,2,0,0,-8624,131,8755,42,FALSE,0,22
Joel Ward,DEF,Crystal Palace,0,0,0,0,0,0,215,0,0,0,0,220,0,0,0,0,2025-01-18T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,19,0,0,0,0,22,0,9509,0,2,0,0,0,-41,97,138,43,FALSE,0,22
Antonín Kinsky,GK,Spurs,0,0,0,8,0,0,716,0,0,0,1.95,214,3,0,3.3,32.6,2025-01-19T14:00:00Z,90,0,0,0,0,0,0,0,FALSE,8,0,0,0,0,22,4,26599,1,2,3,0,2,10024,11471,1447,45,FALSE,0,22
Will Lankshear,FWD,Spurs,0,0,0,0,0,0,609,0,0,0,0,214,0,0,0,0,2025-01-19T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,8,0,0,0,0,22,0,173771,0,2,3,0,0,-5933,2773,8706,45,FALSE,0,22
Hwang Hee-chan,MID,Wolves,0,0,0,0,0,0,550,0,0,0,0,213,0,0,0,0,2025-01-20T20:00:00Z,0,0,0,0,0,0,0,0,FALSE,6,0,0,0,0,22,0,32710,0,1,3,0,0,-2383,579,2962,61,FALSE,0,22
Mikey Moore,MID,Spurs,0,2,0,25,0,15.7,610,0.4,0.52,0.12,0,214,0,0,4.4,17.6,2025-01-19T14:00:00Z,17,0,0,0,0,0,0,0,FALSE,8,0,0,0,0,22,0,21392,0,2,3,11,7,-140,130,270,45,FALSE,0,22
Hákon Valdimarsson,GK,Brentford,0,0,0,0,0,0,109,0,0,0,0,212,0,0,0,0,2025-01-18T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,12,0,0,0,0,22,0,479358,0,2,0,0,0,-411,11667,12078,39,TRUE,0,22
Alex Paulsen,GK,Bournemouth,0,0,0,0,0,0,75,0,0,0,0,218,0,0,0,0,2025-01-18T12:30:00Z,0,0,0,0,0,0,0,0,FALSE,15,0,0,0,0,22,0,2350,0,4,1,0,0,-36,0,36,40,FALSE,0,22
João Victor Gomes da Silva,MID,Wolves,0,0,2,29,0,41.4,553,0.09,0.09,0,3.15,213,3,0,7.9,35.8,2025-01-20T20:00:00Z,90,0,0,0,0,0,0,0,FALSE,6,0,0,0,0,22,0,35633,1,1,3,2,4,-3904,488,4392,49,FALSE,0,22
Cole Palmer,MID,Chelsea,0,0,0,14,0,33.3,182,0.22,0.41,0.19,0.83,213,1,0,7.2,8.8,2025-01-20T20:00:00Z,83,0,0,0,0,0,0,0,FALSE,20,0,0,0,0,22,0,7634967,1,1,3,30,2,-59393,61130,120523,114,TRUE,0,22
Mitoma Kaoru,MID,Brighton,0,1,2,38,0,24.8,136,0.28,1.08,0.8,1.48,217,1,1,12.3,58.8,2025-01-19T14:00:00Z,90,0,0,0,0,0,0,0,FALSE,14,0,0,0,0,22,0,556632,1,3,1,39,12,-23355,10718,34073,63,FALSE,0,22
Boubakary Soumaré,MID,Leicester,0,0,0,14,0,1.8,285,0.01,0.01,0,2.19,216,2,0,1.6,8.2,2025-01-18T15:00:00Z,90,0,0,0,0,0,0,0,FALSE,9,0,0,0,0,22,0,47030,1,2,0,6,2,-1322,1939,3261,44,TRUE,0,22
Chris Wood,FWD,Nott'm Forest,0,1,3,46,0,23,447,0.02,0.75,0.73,0.49,219,1,1,11.2,54,2025-01-19T14:00:00Z,82,0,0,0,0,0,0,0,FALSE,17,0,0,0,0,22,0,4605610,1,2,3,35,12,910266,927431,17165,70,TRUE,0,22
Joe Worrall,DEF,Nott'm Forest,0,0,0,0,0,0,448,0,0,0,0,219,0,0,0,0,2025-01-19T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,17,0,0,0,0,22,0,2292,0,2,3,0,0,-15,0,15,45,TRUE,0,22
Jeffrey Schlupp,MID,Crystal Palace,0,0,0,3,0,10.3,214,0.06,0.06,0,0,220,0,0,1.1,1,2025-01-18T15:00:00Z,1,0,0,0,0,0,0,0,FALSE,19,0,0,0,0,22,0,7041,0,2,0,0,1,-84,226,310,46,FALSE,0,22
Milos Kerkez,DEF,Bournemouth,0,0,0,21,0,7.1,70,0.09,0.14,0.05,0.79,218,1,1,6.9,44.4,2025-01-18T12:30:00Z,90,0,0,0,0,0,0,0,FALSE,15,0,0,0,0,22,0,841436,1,4,1,17,7,-4454,45828,50282,48,FALSE,1,22
Adrian Mazilu,MID,Brighton,0,0,0,0,0,0,133,0,0,0,0,217,0,0,0,0,2025-01-19T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,14,0,0,0,0,22,0,1324,0,3,1,0,0,-8,0,8,45,FALSE,0,22
Jason Steele,GK,Brighton,0,0,0,0,0,0,142,0,0,0,0,217,0,0,0,0,2025-01-19T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,14,0,0,0,0,22,0,106328,0,3,1,0,0,-2093,579,2672,41,FALSE,0,22
Arijanet Muric,GK,Ipswich,0,0,0,0,0,0,568,0,0,0,0,215,0,0,0,0,2025-01-19T16:30:00Z,0,0,0,0,0,0,0,0,FALSE,13,0,0,0,0,22,0,95529,0,6,0,0,0,-6186,491,6677,44,TRUE,0,22
Harvey Davies,GK,Liverpool,0,0,0,0,0,0,669,0,0,0,0,212,0,0,0,0,2025-01-18T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,4,0,0,0,0,22,0,1671,0,2,0,0,0,-38,66,104,40,FALSE,0,22
Carl Rushworth,GK,Brighton,0,0,0,0,0,0,615,0,0,0,0,217,0,0,0,0,2025-01-19T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,14,0,0,0,0,22,0,4515,0,3,1,0,0,-78,0,78,40,FALSE,0,22
Ibrahim Sangaré,MID,Nott'm Forest,0,0,0,0,0,0,442,0,0,0,0,219,0,0,0,0,2025-01-19T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,17,0,0,0,0,22,0,80430,0,2,3,0,0,-2207,3273,5480,43,TRUE,0,22
Hannibal Mejbri,MID,Man Utd,0,0,0,0,0,0,373,0,0,0,0,217,0,0,0,0,2025-01-19T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,5,0,0,0,0,22,0,3696,0,3,1,0,0,-27,0,27,45,TRUE,0,22
Brandon Austin,GK,Spurs,0,0,0,0,0,0,479,0,0,0,0,214,0,0,0,0,2025-01-19T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,8,0,0,0,0,22,0,53848,0,2,3,0,0,-648,630,1278,40,FALSE,0,22
Conor Coady,DEF,Leicester,0,0,0,0,0,0,288,0,0,0,0,216,0,0,0,0,2025-01-18T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,9,0,0,0,0,22,0,43305,0,2,0,0,0,-1065,859,1924,40,TRUE,0,22
Wes Foderingham,GK,West Ham,0,0,0,0,0,0,522,0,0,0,0,220,0,0,0,0,2025-01-18T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,7,0,0,0,0,22,0,15106,0,2,0,0,0,-109,223,332,43,TRUE,0,22
Armando Broja,FWD,Everton,0,0,0,0,0,0,156,0,0,0,0,214,0,0,0,0,2025-01-19T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,18,0,0,0,0,22,0,6421,0,2,3,0,0,-358,51,409,54,TRUE,0,22
Adam Webster,DEF,Brighton,0,0,0,0,0,0,147,0,0,0,0,217,0,0,0,0,2025-01-19T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,14,0,0,0,0,22,0,6932,0,3,1,0,0,304,424,120,43,FALSE,0,22
Thomas Partey,MID,Arsenal,0,0,0,17,0,33.8,20,0.29,0.29,0,1.04,211,2,0,5.1,13,2025-01-18T17:30:00Z,90,0,0,0,0,0,0,0,FALSE,2,0,0,0,0,22,0,85986,1,2,2,4,2,-2518,1726,4244,50,TRUE,0,22
Harry Wilson,MID,Fulham,0,1,1,32,1,86.6,259,0.44,0.47,0.03,0.47,216,0,0,14,38.8,2025-01-18T15:00:00Z,90,0,0,0,0,0,0,0,FALSE,11,0,0,0,0,22,0,99665,1,2,0,15,7,-5577,9565,15142,52,FALSE,0,22
Kasey McAteer,MID,Leicester,0,0,0,3,0,0.8,299,0.01,0.01,0,0.61,216,1,0,0.8,5.4,2025-01-18T15:00:00Z,26,0,0,0,0,0,0,0,FALSE,9,0,0,0,0,22,0,5306,0,2,0,2,0,-210,74,284,47,TRUE,1,22
Curtis Jones,MID,Liverpool,0,0,0,2,0,11.8,324,0.03,0.03,0,0.08,212,0,0,1.5,3.4,2025-01-18T15:00:00Z,10,0,0,0,0,0,0,0,FALSE,4,0,0,0,0,22,0,56091,0,2,0,0,1,-8844,1627,10471,53,FALSE,0,22
Wes Burns,MID,Ipswich,0,0,0,0,0,0,264,0,0,0,0,215,0,0,0,0,2025-01-19T16:30:00Z,0,0,0,0,0,0,0,0,FALSE,13,0,0,0,0,22,0,4592,0,6,0,0,0,-103,154,257,48,TRUE,0,22
Treymaurice Nyoni,MID,Liverpool,0,0,0,0,0,0,688,0,0,0,0,212,0,0,0,0,2025-01-18T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,4,0,0,0,0,22,0,383,0,2,0,0,0,-13,34,47,45,FALSE,0,22
Gustavo Nunes Fernandes Gomes,MID,Brentford,0,0,0,0,0,0,634,0,0,0,0,212,0,0,0,0,2025-01-18T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,12,0,0,0,0,22,0,299,0,2,0,0,0,6,17,11,49,TRUE,0,22
Yunus Emre Konak,MID,Brentford,0,0,0,0,0,0,97,0,0,0,0,212,0,0,0,0,2025-01-18T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,12,0,0,0,0,22,0,6521,0,2,0,0,0,-146,61,207,45,TRUE,0,22
Max Kilman,DEF,West Ham,0,0,0,7,0,1.6,524,0.01,0.01,0,1.32,220,2,0,1.8,14.4,2025-01-18T15:00:00Z,90,0,0,0,0,0,0,0,FALSE,7,0,0,0,0,22,0,137872,1,2,0,2,1,-3250,1574,4824,44,TRUE,0,22
Deniz Undav,FWD,Brighton,0,0,0,0,0,0,143,0,0,0,0,217,0,0,0,0,2025-01-19T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,14,0,0,0,0,22,0,492,0,3,1,0,0,-2,0,2,55,FALSE,0,22
Alex Murphy,DEF,Newcastle,0,0,0,0,0,0,390,0,0,0,0,218,0,0,0,0,2025-01-18T12:30:00Z,0,0,0,0,0,0,0,0,FALSE,3,0,0,0,0,22,0,81874,0,4,1,0,0,-1429,1143,2572,40,TRUE,0,22
